anio,mes,dia,hora(utc),altura(mm)
2016,1,1,0,253 
2016,1,1,1,221 
2016,1,1,2,223 
2016,1,1,3,265 
2016,1,1,4,342 
2016,1,1,5,437 
2016,1,1,6,531 
2016,1,1,7,608 
2016,1,1,8,656 
2016,1,1,9,678 
2016,1,1,10,677 
2016,1,1,11,656 
2016,1,1,12,623 
2016,1,1,13,589 
2016,1,1,14,563 
2016,1,1,15,555 
2016,1,1,16,561 
2016,1,1,17,568 
2016,1,1,18,568 
2016,1,1,19,555 
2016,1,1,20,522 
2016,1,1,21,473 
2016,1,1,22,422 
2016,1,1,23,376 
2016,1,2,0,340 
2016,1,2,1,320 
2016,1,2,2,317 
2016,1,2,3,332 
2016,1,2,4,371 
2016,1,2,5,432 
2016,1,2,6,504 
2016,1,2,7,576 
2016,1,2,8,638 
2016,1,2,9,685 
2016,1,2,10,715 
2016,1,2,11,722 
2016,1,2,12,703 
2016,1,2,13,664 
2016,1,2,14,613 
2016,1,2,15,561 
2016,1,2,16,516 
2016,1,2,17,479 
2016,1,2,18,447 
2016,1,2,19,424 
2016,1,2,20,409 
2016,1,2,21,398 
2016,1,2,22,390 
2016,1,2,23,392 
2016,1,3,0,397 
2016,1,3,1,400 
2016,1,3,2,404 
2016,1,3,3,409 
2016,1,3,4,418 
2016,1,3,5,443 
2016,1,3,6,487 
2016,1,3,7,546 
2016,1,3,8,612 
2016,1,3,9,680 
2016,1,3,10,739 
2016,1,3,11,777 
2016,1,3,12,782 
2016,1,3,13,750 
2016,1,3,14,687 
2016,1,3,15,604 
2016,1,3,16,513 
2016,1,3,17,427 
2016,1,3,18,355 
2016,1,3,19,305 
2016,1,3,20,284 
2016,1,3,21,293 
2016,1,3,22,322 
2016,1,3,23,366 
2016,1,4,0,415 
2016,1,4,1,455 
2016,1,4,2,477 
2016,1,4,3,482 
2016,1,4,4,474 
2016,1,4,5,466 
2016,1,4,6,477 
2016,1,4,7,515 
2016,1,4,8,577 
2016,1,4,9,659 
2016,1,4,10,748 
2016,1,4,11,821 
2016,1,4,12,859 
2016,1,4,13,845 
2016,1,4,14,781 
2016,1,4,15,678 
2016,1,4,16,550 
2016,1,4,17,417 
2016,1,4,18,297 
2016,1,4,19,208 
2016,1,4,20,162 
2016,1,4,21,169 
2016,1,4,22,221 
2016,1,4,23,301 
2016,1,5,0,394 
2016,1,5,1,477 
2016,1,5,2,529 
2016,1,5,3,545 
2016,1,5,4,532 
2016,1,5,5,500 
2016,1,5,6,475 
2016,1,5,7,482 
2016,1,5,8,531 
2016,1,5,9,619 
2016,1,5,10,732 
2016,1,5,11,845 
2016,1,5,12,924 
2016,1,5,13,944 
2016,1,5,14,895 
2016,1,5,15,784 
2016,1,5,16,628 
2016,1,5,17,452 
2016,1,5,18,281 
2016,1,5,19,143 
2016,1,5,20,58 
2016,1,5,21,40 
2016,1,5,22,94 
2016,1,5,23,200 
2016,1,6,0,331 
2016,1,6,1,459 
2016,1,6,2,554 
2016,1,6,3,597 
2016,1,6,4,588 
2016,1,6,5,545 
2016,1,6,6,489 
2016,1,6,7,457 
2016,1,6,8,477 
2016,1,6,9,556 
2016,1,6,10,684 
2016,1,6,11,832 
2016,1,6,12,961 
2016,1,6,13,1029 
2016,1,6,14,1016 
2016,1,6,15,917 
2016,1,6,16,748 
2016,1,6,17,537 
2016,1,6,18,319 
2016,1,6,19,125 
2016,1,6,20,-13 
2016,1,6,21,-74 
2016,1,6,22,-44 
2016,1,6,23,66 
2016,1,7,0,225 
2016,1,7,1,395 
2016,1,7,2,539 
2016,1,7,3,625 
2016,1,7,4,640 
2016,1,7,5,597 
2016,1,7,6,523 
2016,1,7,7,453 
2016,1,7,8,430 
2016,1,7,9,481 
2016,1,7,10,604 
2016,1,7,11,774 
2016,1,7,12,948 
2016,1,7,13,1075 
2016,1,7,14,1117 
2016,1,7,15,1056 
2016,1,7,16,898 
2016,1,7,17,671 
2016,1,7,18,416 
2016,1,7,19,171 
2016,1,7,20,-28 
2016,1,7,21,-146 
2016,1,7,22,-164 
2016,1,7,23,-78 
2016,1,8,0,88 
2016,1,8,1,288 
2016,1,8,2,476 
2016,1,8,3,614 
2016,1,8,4,672 
2016,1,8,5,648 
2016,1,8,6,571 
2016,1,8,7,478 
2016,1,8,8,411 
2016,1,8,9,415 
2016,1,8,10,509 
2016,1,8,11,677 
2016,1,8,12,879 
2016,1,8,13,1060 
2016,1,8,14,1166 
2016,1,8,15,1165 
2016,1,8,16,1048 
2016,1,8,17,833 
2016,1,8,18,560 
2016,1,8,19,279 
2016,1,8,20,28 
2016,1,8,21,-154 
2016,1,8,22,-235 
2016,1,8,23,-198 
2016,1,9,0,-55 
2016,1,9,1,154 
2016,1,9,2,374 
2016,1,9,3,558 
2016,1,9,4,668 
2016,1,9,5,685 
2016,1,9,6,623 
2016,1,9,7,522 
2016,1,9,8,427 
2016,1,9,9,381 
2016,1,9,10,425 
2016,1,9,11,563 
2016,1,9,12,765 
2016,1,9,13,980 
2016,1,9,14,1146 
2016,1,9,15,1214 
2016,1,9,16,1159 
2016,1,9,17,986 
2016,1,9,18,726 
2016,1,9,19,429 
2016,1,9,20,145 
2016,1,9,21,-88 
2016,1,9,22,-234 
2016,1,9,23,-262 
2016,1,10,0,-167 
2016,1,10,1,23 
2016,1,10,2,254 
2016,1,10,3,470 
2016,1,10,4,626 
2016,1,10,5,693 
2016,1,10,6,666 
2016,1,10,7,575 
2016,1,10,8,467 
2016,1,10,9,386 
2016,1,10,10,374 
2016,1,10,11,460 
2016,1,10,12,633 
2016,1,10,13,851 
2016,1,10,14,1056 
2016,1,10,15,1188 
2016,1,10,16,1204 
2016,1,10,17,1094 
2016,1,10,18,876 
2016,1,10,19,592 
2016,1,10,20,297 
2016,1,10,21,34 
2016,1,10,22,-162 
2016,1,10,23,-255 
2016,1,11,0,-222 
2016,1,11,1,-74 
2016,1,11,2,144 
2016,1,11,3,373 
2016,1,11,4,561 
2016,1,11,5,673 
2016,1,11,6,690 
2016,1,11,7,625 
2016,1,11,8,520 
2016,1,11,9,420 
2016,1,11,10,365 
2016,1,11,11,390 
2016,1,11,12,511 
2016,1,11,13,703 
2016,1,11,14,916 
2016,1,11,15,1091 
2016,1,11,16,1173 
2016,1,11,17,1134 
2016,1,11,18,978 
2016,1,11,19,735 
2016,1,11,20,453 
2016,1,11,21,182 
2016,1,11,22,-40 
2016,1,11,23,-182 
2016,1,12,0,-212 
2016,1,12,1,-121 
2016,1,12,2,64 
2016,1,12,3,288 
2016,1,12,4,495 
2016,1,12,5,639 
2016,1,12,6,697 
2016,1,12,7,669 
2016,1,12,8,579 
2016,1,12,9,473 
2016,1,12,10,391 
2016,1,12,11,364 
2016,1,12,12,420 
2016,1,12,13,561 
2016,1,12,14,752 
2016,1,12,15,940 
2016,1,12,16,1071 
2016,1,12,17,1099 
2016,1,12,18,1013 
2016,1,12,19,830 
2016,1,12,20,588 
2016,1,12,21,332 
2016,1,12,22,104 
2016,1,12,23,-64 
2016,1,13,0,-143 
2016,1,13,1,-111 
2016,1,13,2,25 
2016,1,13,3,226 
2016,1,13,4,435 
2016,1,13,5,603 
2016,1,13,6,695 
2016,1,13,7,705 
2016,1,13,8,644 
2016,1,13,9,545 
2016,1,13,10,447 
2016,1,13,11,383 
2016,1,13,12,377 
2016,1,13,13,450 
2016,1,13,14,592 
2016,1,13,15,762 
2016,1,13,16,911 
2016,1,13,17,992 
2016,1,13,18,974 
2016,1,13,19,860 
2016,1,13,20,678 
2016,1,13,21,461 
2016,1,13,22,249 
2016,1,13,23,77 
2016,1,14,0,-31 
2016,1,14,1,-50 
2016,1,14,2,30 
2016,1,14,3,190 
2016,1,14,4,386 
2016,1,14,5,565 
2016,1,14,6,687 
2016,1,14,7,732 
2016,1,14,8,707 
2016,1,14,9,631 
2016,1,14,10,533 
2016,1,14,11,444 
2016,1,14,12,390 
2016,1,14,13,393 
2016,1,14,14,464 
2016,1,14,15,585 
2016,1,14,16,718 
2016,1,14,17,821 
2016,1,14,18,858 
2016,1,14,19,814 
2016,1,14,20,700 
2016,1,14,21,546 
2016,1,14,22,377 
2016,1,14,23,222 
2016,1,15,0,108 
2016,1,15,1,57 
2016,1,15,2,82 
2016,1,15,3,187 
2016,1,15,4,348 
2016,1,15,5,521 
2016,1,15,6,662 
2016,1,15,7,743 
2016,1,15,8,758 
2016,1,15,9,718 
2016,1,15,10,640 
2016,1,15,11,546 
2016,1,15,12,460 
2016,1,15,13,405 
2016,1,15,14,399 
2016,1,15,15,447 
2016,1,15,16,529 
2016,1,15,17,614 
2016,1,15,18,675 
2016,1,15,19,686 
2016,1,15,20,642 
2016,1,15,21,558 
2016,1,15,22,456 
2016,1,15,23,348 
2016,1,16,0,254 
2016,1,16,1,194 
2016,1,16,2,182 
2016,1,16,3,229 
2016,1,16,4,335 
2016,1,16,5,477 
2016,1,16,6,617 
2016,1,16,7,724 
2016,1,16,8,779 
2016,1,16,9,784 
2016,1,16,10,747 
2016,1,16,11,674 
2016,1,16,12,581 
2016,1,16,13,489 
2016,1,16,14,418 
2016,1,16,15,384 
2016,1,16,16,389 
2016,1,16,17,420 
2016,1,16,18,460 
2016,1,16,19,492 
2016,1,16,20,500 
2016,1,16,21,484 
2016,1,16,22,455 
2016,1,16,23,419 
2016,1,17,0,376 
2016,1,17,1,337 
2016,1,17,2,315 
2016,1,17,3,319 
2016,1,17,4,363 
2016,1,17,5,450 
2016,1,17,6,561 
2016,1,17,7,671 
2016,1,17,8,757 
2016,1,17,9,808 
2016,1,17,10,822 
2016,1,17,11,796 
2016,1,17,12,728 
2016,1,17,13,629 
2016,1,17,14,520 
2016,1,17,15,419 
2016,1,17,16,340 
2016,1,17,17,291 
2016,1,17,18,271 
2016,1,17,19,276 
2016,1,17,20,299 
2016,1,17,21,328 
2016,1,17,22,363 
2016,1,17,23,404 
2016,1,18,0,436 
2016,1,18,1,450 
2016,1,18,2,449 
2016,1,18,3,440 
2016,1,18,4,437 
2016,1,18,5,460 
2016,1,18,6,517 
2016,1,18,7,599 
2016,1,18,8,691 
2016,1,18,9,777 
2016,1,18,10,844 
2016,1,18,11,876 
2016,1,18,12,860 
2016,1,18,13,792 
2016,1,18,14,679 
2016,1,18,15,541 
2016,1,18,16,396 
2016,1,18,17,265 
2016,1,18,18,163 
2016,1,18,19,102 
2016,1,18,20,92 
2016,1,18,21,128 
2016,1,18,22,200 
2016,1,18,23,298 
2016,1,19,0,407 
2016,1,19,1,496 
2016,1,19,2,546 
2016,1,19,3,557 
2016,1,19,4,538 
2016,1,19,5,510 
2016,1,19,6,503 
2016,1,19,7,533 
2016,1,19,8,601 
2016,1,19,9,697 
2016,1,19,10,803 
2016,1,19,11,892 
2016,1,19,12,941 
2016,1,19,13,929 
2016,1,19,14,850 
2016,1,19,15,713 
2016,1,19,16,536 
2016,1,19,17,343 
2016,1,19,18,163 
2016,1,19,19,23 
2016,1,19,20,-56 
2016,1,19,21,-59 
2016,1,19,22,11 
2016,1,19,23,137 
2016,1,20,0,296 
2016,1,20,1,456 
2016,1,20,2,576 
2016,1,20,3,634 
2016,1,20,4,631 
2016,1,20,5,583 
2016,1,20,6,525 
2016,1,20,7,495 
2016,1,20,8,516 
2016,1,20,9,591 
2016,1,20,10,710 
2016,1,20,11,843 
2016,1,20,12,953 
2016,1,20,13,1007 
2016,1,20,14,987 
2016,1,20,15,884 
2016,1,20,16,711 
2016,1,20,17,492 
2016,1,20,18,259 
2016,1,20,19,49 
2016,1,20,20,-107 
2016,1,20,21,-178 
2016,1,20,22,-149 
2016,1,20,23,-31 
2016,1,21,0,147 
2016,1,21,1,350 
2016,1,21,2,534 
2016,1,21,3,652 
2016,1,21,4,688 
2016,1,21,5,650 
2016,1,21,6,568 
2016,1,21,7,488 
2016,1,21,8,454 
2016,1,21,9,488 
2016,1,21,10,592 
2016,1,21,11,745 
2016,1,21,12,902 
2016,1,21,13,1018 
2016,1,21,14,1062 
2016,1,21,15,1015 
2016,1,21,16,874 
2016,1,21,17,660 
2016,1,21,18,406 
2016,1,21,19,152 
2016,1,21,20,-64 
2016,1,21,21,-204 
2016,1,21,22,-239 
2016,1,21,23,-160 
2016,1,22,0,8 
2016,1,22,1,224 
2016,1,22,2,443 
2016,1,22,3,616 
2016,1,22,4,700 
2016,1,22,5,690 
2016,1,22,6,611 
2016,1,22,7,503 
2016,1,22,8,421 
2016,1,22,9,407 
2016,1,22,10,477 
2016,1,22,11,622 
2016,1,22,12,804 
2016,1,22,13,970 
2016,1,22,14,1073 
2016,1,22,15,1086 
2016,1,22,16,995 
2016,1,22,17,808 
2016,1,22,18,558 
2016,1,22,19,287 
2016,1,22,20,36 
2016,1,22,21,-156 
2016,1,22,22,-251 
2016,1,22,23,-227 
2016,1,23,0,-92 
2016,1,23,1,115 
2016,1,23,2,345 
2016,1,23,3,549 
2016,1,23,4,678 
2016,1,23,5,705 
2016,1,23,6,642 
2016,1,23,7,529 
2016,1,23,8,416 
2016,1,23,9,356 
2016,1,23,10,383 
2016,1,23,11,499 
2016,1,23,12,681 
2016,1,23,13,878 
2016,1,23,14,1032 
2016,1,23,15,1100 
2016,1,23,16,1063 
2016,1,23,17,917 
2016,1,23,18,687 
2016,1,23,19,419 
2016,1,23,20,155 
2016,1,23,21,-67 
2016,1,23,22,-207 
2016,1,23,23,-235 
2016,1,24,0,-143 
2016,1,24,1,41 
2016,1,24,2,266 
2016,1,24,3,481 
2016,1,24,4,639 
2016,1,24,5,703 
2016,1,24,6,666 
2016,1,24,7,560 
2016,1,24,8,433 
2016,1,24,9,338 
2016,1,24,10,318 
2016,1,24,11,394 
2016,1,24,12,554 
2016,1,24,13,758 
2016,1,24,14,948 
2016,1,24,15,1066 
2016,1,24,16,1081 
2016,1,24,17,983 
2016,1,24,18,786 
2016,1,24,19,531 
2016,1,24,20,268 
2016,1,24,21,35 
2016,1,24,22,-132 
2016,1,24,23,-201 
2016,1,25,0,-152 
2016,1,25,1,0 
2016,1,25,2,211 
2016,1,25,3,427 
2016,1,25,4,600 
2016,1,25,5,693 
2016,1,25,6,685 
2016,1,25,7,595 
2016,1,25,8,468 
2016,1,25,9,351 
2016,1,25,10,290 
2016,1,25,11,319 
2016,1,25,12,441 
2016,1,25,13,628 
2016,1,25,14,830 
2016,1,25,15,989 
2016,1,25,16,1053 
2016,1,25,17,1005 
2016,1,25,18,850 
2016,1,25,19,622 
2016,1,25,20,369 
2016,1,25,21,137 
2016,1,25,22,-43 
2016,1,25,23,-140 
2016,1,26,0,-128 
2016,1,26,1,-12 
2016,1,26,2,177 
2016,1,26,3,387 
2016,1,26,4,567 
2016,1,26,5,680 
2016,1,26,6,701 
2016,1,26,7,634 
2016,1,26,8,515 
2016,1,26,9,391 
2016,1,26,10,302 
2016,1,26,11,283 
2016,1,26,12,357 
2016,1,26,13,508 
2016,1,26,14,697 
2016,1,26,15,873 
2016,1,26,16,979 
2016,1,26,17,981 
2016,1,26,18,876 
2016,1,26,19,687 
2016,1,26,20,457 
2016,1,26,21,234 
2016,1,26,22,54 
2016,1,26,23,-59 
2016,1,27,0,-79 
2016,1,27,1,3 
2016,1,27,2,162 
2016,1,27,3,357 
2016,1,27,4,538 
2016,1,27,5,663 
2016,1,27,6,708 
2016,1,27,7,669 
2016,1,27,8,569 
2016,1,27,9,448 
2016,1,27,10,346 
2016,1,27,11,291 
2016,1,27,12,313 
2016,1,27,13,416 
2016,1,27,14,572 
2016,1,27,15,737 
2016,1,27,16,864 
2016,1,27,17,910 
2016,1,27,18,855 
2016,1,27,19,714 
2016,1,27,20,522 
2016,1,27,21,321 
2016,1,27,22,151 
2016,1,27,23,36 
2016,1,28,0,-5 
2016,1,28,1,43 
2016,1,28,2,170 
2016,1,28,3,340 
2016,1,28,4,511 
2016,1,28,5,643 
2016,1,28,6,706 
2016,1,28,7,693 
2016,1,28,8,618 
2016,1,28,9,512 
2016,1,28,10,409 
2016,1,28,11,335 
2016,1,28,12,315 
2016,1,28,13,363 
2016,1,28,14,473 
2016,1,28,15,608 
2016,1,28,16,729 
2016,1,28,17,799 
2016,1,28,18,788 
2016,1,28,19,696 
2016,1,28,20,550 
2016,1,28,21,386 
2016,1,28,22,237 
2016,1,28,23,131 
2016,1,29,0,85 
2016,1,29,1,108 
2016,1,29,2,200 
2016,1,29,3,342 
2016,1,29,4,494 
2016,1,29,5,621 
2016,1,29,6,695 
2016,1,29,7,705 
2016,1,29,8,656 
2016,1,29,9,573 
2016,1,29,10,480 
2016,1,29,11,401 
2016,1,29,12,354 
2016,1,29,13,356 
2016,1,29,14,413 
2016,1,29,15,506 
2016,1,29,16,600 
2016,1,29,17,667 
2016,1,29,18,684 
2016,1,29,19,635 
2016,1,29,20,536 
2016,1,29,21,415 
2016,1,29,22,300 
2016,1,29,23,215 
2016,1,30,0,174 
2016,1,30,1,186 
2016,1,30,2,250 
2016,1,30,3,358 
2016,1,30,4,486 
2016,1,30,5,601 
2016,1,30,6,678 
2016,1,30,7,705 
2016,1,30,8,682 
2016,1,30,9,624 
2016,1,30,10,550 
2016,1,30,11,476 
2016,1,30,12,417 
2016,1,30,13,388 
2016,1,30,14,396 
2016,1,30,15,439 
2016,1,30,16,495 
2016,1,30,17,541 
2016,1,30,18,560 
2016,1,30,19,541 
2016,1,30,20,482 
2016,1,30,21,405 
