anio,mes,dia,hora(utc),altura(mm)
2016,1,30,22,331 
2016,1,30,23,276 
2016,1,31,0,251 
2016,1,31,1,263 
2016,1,31,2,310 
2016,1,31,3,387 
2016,1,31,4,485 
2016,1,31,5,582 
2016,1,31,6,655 
2016,1,31,7,694 
2016,1,31,8,695 
2016,1,31,9,666 
2016,1,31,10,617 
2016,1,31,11,558 
2016,1,31,12,498 
2016,1,31,13,448 
2016,1,31,14,419 
2016,1,31,15,412 
2016,1,31,16,422 
2016,1,31,17,434 
2016,1,31,18,437 
2016,1,31,19,425 
2016,1,31,20,397 
2016,1,31,21,359 
2016,1,31,22,326 
2016,1,31,23,308 
2016,2,1,0,309 
2016,2,1,1,329 
2016,2,1,2,370 
2016,2,1,3,424 
2016,2,1,4,488 
2016,2,1,5,560 
2016,2,1,6,623 
2016,2,1,7,667 
2016,2,1,8,690 
2016,2,1,9,693 
2016,2,1,10,678 
2016,2,1,11,645 
2016,2,1,12,595 
2016,2,1,13,535 
2016,2,1,14,478 
2016,2,1,15,427 
2016,2,1,16,386 
2016,2,1,17,354 
2016,2,1,18,326 
2016,2,1,19,303 
2016,2,1,20,287 
2016,2,1,21,280 
2016,2,1,22,285 
2016,2,1,23,308 
2016,2,2,0,344 
2016,2,2,1,384 
2016,2,2,2,427 
2016,2,2,3,468 
2016,2,2,4,503 
2016,2,2,5,539 
2016,2,2,6,581 
2016,2,2,7,623 
2016,2,2,8,660 
2016,2,2,9,695 
2016,2,2,10,721 
2016,2,2,11,726 
2016,2,2,12,703 
2016,2,2,13,649 
2016,2,2,14,574 
2016,2,2,15,487 
2016,2,2,16,396 
2016,2,2,17,310 
2016,2,2,18,238 
2016,2,2,19,185 
2016,2,2,20,160 
2016,2,2,21,168 
2016,2,2,22,206 
2016,2,2,23,269 
2016,2,3,0,347 
2016,2,3,1,421 
2016,2,3,2,479 
2016,2,3,3,516 
2016,2,3,4,531 
2016,2,3,5,531 
2016,2,3,6,538 
2016,2,3,7,561 
2016,2,3,8,602 
2016,2,3,9,661 
2016,2,3,10,729 
2016,2,3,11,785 
2016,2,3,12,806 
2016,2,3,13,780 
2016,2,3,14,707 
2016,2,3,15,596 
2016,2,3,16,462 
2016,2,3,17,320 
2016,2,3,18,190 
2016,2,3,19,91 
2016,2,3,20,35 
2016,2,3,21,35 
2016,2,3,22,90 
2016,2,3,23,188 
2016,2,4,0,308 
2016,2,4,1,427 
2016,2,4,2,518 
2016,2,4,3,567 
2016,2,4,4,573 
2016,2,4,5,546 
2016,2,4,6,510 
2016,2,4,7,497 
2016,2,4,8,522 
2016,2,4,9,588 
2016,2,4,10,688 
2016,2,4,11,797 
2016,2,4,12,878 
2016,2,4,13,903 
2016,2,4,14,860 
2016,2,4,15,750 
2016,2,4,16,588 
2016,2,4,17,397 
2016,2,4,18,207 
2016,2,4,19,46 
2016,2,4,20,-61 
2016,2,4,21,-96 
2016,2,4,22,-49 
2016,2,4,23,68 
2016,2,5,0,225 
2016,2,5,1,389 
2016,2,5,2,528 
2016,2,5,3,609 
2016,2,5,4,623 
2016,2,5,5,582 
2016,2,5,6,513 
2016,2,5,7,452 
2016,2,5,8,439 
2016,2,5,9,488 
2016,2,5,10,597 
2016,2,5,11,745 
2016,2,5,12,890 
2016,2,5,13,983 
2016,2,5,14,997 
2016,2,5,15,921 
2016,2,5,16,759 
2016,2,5,17,539 
2016,2,5,18,299 
2016,2,5,19,75 
2016,2,5,20,-97 
2016,2,5,21,-188 
2016,2,5,22,-179 
2016,2,5,23,-70 
2016,2,6,0,107 
2016,2,6,1,310 
2016,2,6,2,496 
2016,2,6,3,625 
2016,2,6,4,670 
2016,2,6,5,633 
2016,2,6,6,544 
2016,2,6,7,443 
2016,2,6,8,378 
2016,2,6,9,385 
2016,2,6,10,475 
2016,2,6,11,635 
2016,2,6,12,826 
2016,2,6,13,990 
2016,2,6,14,1078 
2016,2,6,15,1065 
2016,2,6,16,941 
2016,2,6,17,722 
2016,2,6,18,453 
2016,2,6,19,181 
2016,2,6,20,-53 
2016,2,6,21,-212 
2016,2,6,22,-263 
2016,2,6,23,-192 
2016,2,7,0,-20 
2016,2,7,1,205 
2016,2,7,2,428 
2016,2,7,3,606 
2016,2,7,4,698 
2016,2,7,5,686 
2016,2,7,6,595 
2016,2,7,7,469 
2016,2,7,8,357 
2016,2,7,9,307 
2016,2,7,10,351 
2016,2,7,11,490 
2016,2,7,12,696 
2016,2,7,13,912 
2016,2,7,14,1076 
2016,2,7,15,1140 
2016,2,7,16,1083 
2016,2,7,17,904 
2016,2,7,18,638 
2016,2,7,19,341 
2016,2,7,20,64 
2016,2,7,21,-155 
2016,2,7,22,-274 
2016,2,7,23,-262 
2016,2,8,0,-124 
2016,2,8,1,99 
2016,2,8,2,346 
2016,2,8,3,561 
2016,2,8,4,700 
2016,2,8,5,731 
2016,2,8,6,657 
2016,2,8,7,522 
2016,2,8,8,379 
2016,2,8,9,275 
2016,2,8,10,256 
2016,2,8,11,344 
2016,2,8,12,529 
2016,2,8,13,763 
2016,2,8,14,983 
2016,2,8,15,1125 
2016,2,8,16,1147 
2016,2,8,17,1038 
2016,2,8,18,813 
2016,2,8,19,522 
2016,2,8,20,225 
2016,2,8,21,-31 
2016,2,8,22,-208 
2016,2,8,23,-263 
2016,2,9,0,-179 
2016,2,9,1,17 
2016,2,9,2,268 
2016,2,9,3,508 
2016,2,9,4,685 
2016,2,9,5,761 
2016,2,9,6,722 
2016,2,9,7,595 
2016,2,9,8,435 
2016,2,9,9,293 
2016,2,9,10,213 
2016,2,9,11,232 
2016,2,9,12,363 
2016,2,9,13,577 
2016,2,9,14,818 
2016,2,9,15,1018 
2016,2,9,16,1118 
2016,2,9,17,1089 
2016,2,9,18,933 
2016,2,9,19,682 
2016,2,9,20,394 
2016,2,9,21,126 
2016,2,9,22,-84 
2016,2,9,23,-196 
2016,2,10,0,-175 
2016,2,10,1,-25 
2016,2,10,2,208 
2016,2,10,3,458 
2016,2,10,4,663 
2016,2,10,5,778 
2016,2,10,6,781 
2016,2,10,7,680 
2016,2,10,8,520 
2016,2,10,9,355 
2016,2,10,10,229 
2016,2,10,11,178 
2016,2,10,12,235 
2016,2,10,13,395 
2016,2,10,14,617 
2016,2,10,15,840 
2016,2,10,16,999 
2016,2,10,17,1046 
2016,2,10,18,969 
2016,2,10,19,786 
2016,2,10,20,539 
2016,2,10,21,284 
2016,2,10,22,67 
2016,2,10,23,-77 
2016,2,11,0,-113 
2016,2,11,1,-21 
2016,2,11,2,175 
2016,2,11,3,415 
2016,2,11,4,635 
2016,2,11,5,782 
2016,2,11,6,826 
2016,2,11,7,764 
2016,2,11,8,624 
2016,2,11,9,454 
2016,2,11,10,299 
2016,2,11,11,195 
2016,2,11,12,174 
2016,2,11,13,257 
2016,2,11,14,424 
2016,2,11,15,627 
2016,2,11,16,810 
2016,2,11,17,917 
2016,2,11,18,914 
2016,2,11,19,808 
2016,2,11,20,628 
2016,2,11,21,415 
2016,2,11,22,216 
2016,2,11,23,66 
2016,2,12,0,-4 
2016,2,12,1,32 
2016,2,12,2,174 
2016,2,12,3,382 
2016,2,12,4,599 
2016,2,12,5,768 
2016,2,12,6,848 
2016,2,12,7,829 
2016,2,12,8,726 
2016,2,12,9,574 
2016,2,12,10,412 
2016,2,12,11,275 
2016,2,12,12,193 
2016,2,12,13,194 
2016,2,12,14,282 
2016,2,12,15,430 
2016,2,12,16,592 
2016,2,12,17,722 
2016,2,12,18,776 
2016,2,12,19,741 
2016,2,12,20,636 
2016,2,12,21,491 
2016,2,12,22,337 
2016,2,12,23,208 
2016,2,13,0,131 
2016,2,13,1,128 
2016,2,13,2,211 
2016,2,13,3,369 
2016,2,13,4,559 
2016,2,13,5,729 
2016,2,13,6,837 
2016,2,13,7,859 
2016,2,13,8,802 
2016,2,13,9,689 
2016,2,13,10,546 
2016,2,13,11,403 
2016,2,13,12,286 
2016,2,13,13,221 
2016,2,13,14,225 
2016,2,13,15,293 
2016,2,13,16,397 
2016,2,13,17,504 
2016,2,13,18,580 
2016,2,13,19,597 
2016,2,13,20,559 
2016,2,13,21,487 
2016,2,13,22,402 
2016,2,13,23,321 
2016,2,14,0,265 
2016,2,14,1,251 
2016,2,14,2,290 
2016,2,14,3,388 
2016,2,14,4,528 
2016,2,14,5,674 
2016,2,14,6,787 
2016,2,14,7,842 
2016,2,14,8,831 
2016,2,14,9,768 
2016,2,14,10,669 
2016,2,14,11,550 
2016,2,14,12,429 
2016,2,14,13,328 
2016,2,14,14,265 
2016,2,14,15,249 
2016,2,14,16,273 
2016,2,14,17,319 
2016,2,14,18,370 
2016,2,14,19,404 
2016,2,14,20,410 
2016,2,14,21,400 
2016,2,14,22,388 
2016,2,14,23,375 
2016,2,15,0,367 
2016,2,15,1,372 
2016,2,15,2,396 
2016,2,15,3,445 
2016,2,15,4,524 
2016,2,15,5,621 
2016,2,15,6,712 
2016,2,15,7,777 
2016,2,15,8,803 
2016,2,15,9,791 
2016,2,15,10,748 
2016,2,15,11,678 
2016,2,15,12,586 
2016,2,15,13,483 
2016,2,15,14,387 
2016,2,15,15,306 
2016,2,15,16,249 
2016,2,15,17,215 
2016,2,15,18,203 
2016,2,15,19,210 
2016,2,15,20,226 
2016,2,15,21,252 
2016,2,15,22,295 
2016,2,15,23,353 
2016,2,16,0,411 
2016,2,16,1,460 
2016,2,16,2,499 
2016,2,16,3,527 
2016,2,16,4,553 
2016,2,16,5,590 
2016,2,16,6,636 
2016,2,16,7,682 
2016,2,16,8,722 
2016,2,16,9,752 
2016,2,16,10,764 
2016,2,16,11,756 
2016,2,16,12,717 
2016,2,16,13,647 
2016,2,16,14,552 
2016,2,16,15,441 
2016,2,16,16,323 
2016,2,16,17,212 
2016,2,16,18,123 
2016,2,16,19,67 
2016,2,16,20,54 
2016,2,16,21,83 
2016,2,16,22,153 
2016,2,16,23,259 
2016,2,17,0,382 
2016,2,17,1,492 
2016,2,17,2,570 
2016,2,17,3,607 
2016,2,17,4,607 
2016,2,17,5,590 
2016,2,17,6,579 
2016,2,17,7,585 
2016,2,17,8,611 
2016,2,17,9,659 
2016,2,17,10,718 
2016,2,17,11,768 
2016,2,17,12,794 
2016,2,17,13,779 
2016,2,17,14,717 
2016,2,17,15,609 
2016,2,17,16,463 
2016,2,17,17,298 
2016,2,17,18,139 
2016,2,17,19,11 
2016,2,17,20,-61 
2016,2,17,21,-64 
2016,2,17,22,4 
2016,2,17,23,130 
2016,2,18,0,296 
2016,2,18,1,463 
2016,2,18,2,593 
2016,2,18,3,662 
2016,2,18,4,664 
2016,2,18,5,615 
2016,2,18,6,552 
2016,2,18,7,507 
2016,2,18,8,498 
2016,2,18,9,538 
2016,2,18,10,621 
2016,2,18,11,721 
2016,2,18,12,806 
2016,2,18,13,854 
2016,2,18,14,845 
2016,2,18,15,767 
2016,2,18,16,625 
2016,2,18,17,436 
2016,2,18,18,230 
2016,2,18,19,41 
2016,2,18,20,-97 
2016,2,18,21,-153 
2016,2,18,22,-115 
2016,2,18,23,6 
2016,2,19,0,187 
2016,2,19,1,391 
2016,2,19,2,570 
2016,2,19,3,681 
2016,2,19,4,705 
2016,2,19,5,651 
2016,2,19,6,553 
2016,2,19,7,459 
2016,2,19,8,406 
2016,2,19,9,416 
2016,2,19,10,496 
2016,2,19,11,626 
2016,2,19,12,762 
2016,2,19,13,868 
2016,2,19,14,918 
2016,2,19,15,888 
2016,2,19,16,770 
2016,2,19,17,583 
2016,2,19,18,356 
2016,2,19,19,128 
2016,2,19,20,-62 
2016,2,19,21,-175 
2016,2,19,22,-184 
2016,2,19,23,-86 
2016,2,20,0,90 
2016,2,20,1,307 
2016,2,20,2,518 
2016,2,20,3,670 
2016,2,20,4,726 
2016,2,20,5,685 
2016,2,20,6,575 
2016,2,20,7,445 
2016,2,20,8,346 
2016,2,20,9,316 
2016,2,20,10,371 
2016,2,20,11,504 
2016,2,20,12,675 
2016,2,20,13,831 
2016,2,20,14,934 
2016,2,20,15,957 
2016,2,20,16,880 
2016,2,20,17,711 
2016,2,20,18,483 
2016,2,20,19,238 
2016,2,20,20,16 
2016,2,20,21,-143 
2016,2,20,22,-199 
2016,2,20,23,-138 
2016,2,21,0,22 
2016,2,21,1,236 
2016,2,21,2,460 
2016,2,21,3,641 
2016,2,21,4,732 
2016,2,21,5,713 
2016,2,21,6,606 
2016,2,21,7,458 
2016,2,21,8,322 
2016,2,21,9,248 
2016,2,21,10,266 
2016,2,21,11,378 
2016,2,21,12,559 
2016,2,21,13,753 
2016,2,21,14,904 
2016,2,21,15,977 
2016,2,21,16,947 
2016,2,21,17,809 
2016,2,21,18,593 
2016,2,21,19,346 
2016,2,21,20,110 
2016,2,21,21,-77 
2016,2,21,22,-173 
2016,2,21,23,-151 
2016,2,22,0,-17 
2016,2,22,1,188 
2016,2,22,2,413 
2016,2,22,3,610 
2016,2,22,4,729 
2016,2,22,5,737 
2016,2,22,6,643 
2016,2,22,7,491 
2016,2,22,8,332 
2016,2,22,9,218 
2016,2,22,10,192 
2016,2,22,11,269 
2016,2,22,12,434 
2016,2,22,13,643 
2016,2,22,14,833 
2016,2,22,15,952 
2016,2,22,16,970 
2016,2,22,17,874 
2016,2,22,18,682 
2016,2,22,19,443 
2016,2,22,20,205 
2016,2,22,21,4 
2016,2,22,22,-120 
2016,2,22,23,-133 
2016,2,23,0,-29 
2016,2,23,1,160 
2016,2,23,2,381 
2016,2,23,3,583 
2016,2,23,4,721 
2016,2,23,5,756 
2016,2,23,6,682 
2016,2,23,7,536 
2016,2,23,8,368 
2016,2,23,9,226 
2016,2,23,10,156 
2016,2,23,11,188 
2016,2,23,12,319 
2016,2,23,13,518 
2016,2,23,14,727 
2016,2,23,15,886 
2016,2,23,16,950 
2016,2,23,17,901 
2016,2,23,18,747 
2016,2,23,19,526 
2016,2,23,20,295 
2016,2,23,21,93 
2016,2,23,22,-47 
2016,2,23,23,-90 
2016,2,24,0,-18 
2016,2,24,1,149 
2016,2,24,2,360 
2016,2,24,3,563 
2016,2,24,4,711 
2016,2,24,5,768 
2016,2,24,6,719 
2016,2,24,7,586 
2016,2,24,8,418 
2016,2,24,9,262 
2016,2,24,10,159 
2016,2,24,11,143 
2016,2,24,12,229 
2016,2,24,13,398 
2016,2,24,14,602 
2016,2,24,15,784 
2016,2,24,16,889 
2016,2,24,17,887 
2016,2,24,18,778 
2016,2,24,19,590 
2016,2,24,20,375 
2016,2,24,21,180 
2016,2,24,22,37 
2016,2,24,23,-26 
2016,2,25,0,15 
2016,2,25,1,155 
2016,2,25,2,350 
2016,2,25,3,549 
2016,2,25,4,702 
2016,2,25,5,775 
2016,2,25,6,748 
2016,2,25,7,635 
2016,2,25,8,475 
2016,2,25,9,316 
2016,2,25,10,193 
2016,2,25,11,137 
2016,2,25,12,174 
2016,2,25,13,300 
2016,2,25,14,478 
2016,2,25,15,659 
2016,2,25,16,791 
2016,2,25,17,831 
2016,2,25,18,769 
2016,2,25,19,624 
2016,2,25,20,438 
2016,2,25,21,259 
2016,2,25,22,122 
2016,2,25,23,51 
2016,2,26,0,67 
2016,2,26,1,177 
2016,2,26,2,351 
2016,2,26,3,539 
2016,2,26,4,693 
2016,2,26,5,777 
2016,2,26,6,770 
2016,2,26,7,678 
2016,2,26,8,533 
2016,2,26,9,378 
2016,2,26,10,246 
2016,2,26,11,164 
2016,2,26,12,156 
2016,2,26,13,233 
2016,2,26,14,373 
2016,2,26,15,533 
2016,2,26,16,669 
2016,2,26,17,740 
2016,2,26,18,720 
2016,2,26,19,620 
2016,2,26,20,473 
2016,2,26,21,320 
2016,2,26,22,196 
2016,2,26,23,128 
2016,2,27,0,130 
2016,2,27,1,212 
2016,2,27,2,360 
2016,2,27,3,532 
2016,2,27,4,681 
2016,2,27,5,772 
2016,2,27,6,784 
2016,2,27,7,715 
2016,2,27,8,590 
2016,2,27,9,444 
2016,2,27,10,312 
2016,2,27,11,216 
2016,2,27,12,174 
2016,2,27,13,203 
2016,2,27,14,298 
2016,2,27,15,425 
2016,2,27,16,545 
2016,2,27,17,626 
2016,2,27,18,640 
2016,2,27,19,581 
2016,2,27,20,475 
2016,2,27,21,356 
2016,2,27,22,255 
2016,2,27,23,196 
2016,2,28,0,195 
2016,2,28,1,255 
2016,2,28,2,373 
2016,2,28,3,524 
2016,2,28,4,664 
2016,2,28,5,758 
2016,2,28,6,785 
2016,2,28,7,741 
2016,2,28,8,641 
2016,2,28,9,514 
2016,2,28,10,388 
2016,2,28,11,285 
2016,2,28,12,221 
2016,2,28,13,211 
2016,2,28,14,256 
2016,2,28,15,341 
2016,2,28,16,433 
2016,2,28,17,504 
2016,2,28,18,535 
2016,2,28,19,511 
2016,2,28,20,444 
2016,2,28,21,363 
2016,2,28,22,293 
2016,2,28,23,251 
2016,2,29,0,253 
2016,2,29,1,302 
2016,2,29,2,393 
2016,2,29,3,514 
2016,2,29,4,638 
2016,2,29,5,730 
2016,2,29,6,770 
2016,2,29,7,751 
2016,2,29,8,681 
2016,2,29,9,581 
2016,2,29,10,473 
2016,2,29,11,372 
2016,2,29,12,295 
2016,2,29,13,253 
2016,2,29,14,253 
2016,2,29,15,288 
2016,2,29,16,341 
2016,2,29,17,388 
2016,2,29,18,416 
2016,2,29,19,414 
2016,2,29,20,383 
2016,2,29,21,339 
2016,2,29,22,305 
2016,2,29,23,291 
